time,MACD,MACD_Hist,MACD_Signal
2019-11-26 16:00,0.1468,-0.0984,0.2452
2019-11-26 15:59,0.1916,-0.0782,0.2698
2019-11-26 15:58,0.2541,-0.0352,0.2893
2019-11-26 15:57,0.3017,0.0036,0.2981
2019-11-26 15:56,0.3663,0.0691,0.2972
2019-11-26 15:55,0.3939,0.1140,0.2799
2019-11-26 15:54,0.3812,0.1298,0.2514
2019-11-26 15:53,0.3559,0.1370,0.2190
2019-11-26 15:52,0.3251,0.1404,0.1847
2019-11-26 15:51,0.2942,0.1446,0.1496
2019-11-26 15:50,0.2353,0.1218,0.1135
2019-11-26 15:49,0.2004,0.1174,0.0830
2019-11-26 15:48,0.1347,0.0810,0.0537
2019-11-26 15:47,0.0865,0.0530,0.0335
2019-11-26 15:46,0.0715,0.0513,0.0202
2019-11-26 15:45,0.0616,0.0542,0.0074
2019-11-26 15:44,0.0368,0.0430,-0.0062
2019-11-26 15:43,0.0199,0.0368,-0.0169
2019-11-26 15:42,0.0062,0.0324,-0.0261
2019-11-26 15:41,0.0050,0.0392,-0.0342
2019-11-26 15:40,-0.0008,0.0432,-0.0440
2019-11-26 15:39,-0.0142,0.0406,-0.0548
2019-11-26 15:38,-0.0220,0.0429,-0.0649
2019-11-26 15:37,-0.0344,0.0413,-0.0757
2019-11-26 15:36,-0.0430,0.0430,-0.0860
2019-11-26 15:35,-0.0624,0.0344,-0.0967
2019-11-26 15:34,-0.0730,0.0323,-0.1053
2019-11-26 15:33,-0.0875,0.0259,-0.1134
2019-11-26 15:32,-0.1027,0.0172,-0.1199
2019-11-26 15:31,-0.1239,0.0002,-0.1242
2019-11-26 15:30,-0.1382,-0.0140,-0.1242
2019-11-26 15:29,-0.1408,-0.0201,-0.1207
2019-11-26 15:28,-0.1323,-0.0166,-0.1157
2019-11-26 15:27,-0.1221,-0.0106,-0.1116
2019-11-26 15:26,-0.1175,-0.0086,-0.1089
2019-11-26 15:25,-0.1211,-0.0144,-0.1068
2019-11-26 15:24,-0.1231,-0.0199,-0.1032
2019-11-26 15:23,-0.1236,-0.0254,-0.0982
2019-11-26 15:22,-0.1185,-0.0267,-0.0919
2019-11-26 15:21,-0.1113,-0.0261,-0.0852
2019-11-26 15:20,-0.1055,-0.0268,-0.0787
2019-11-26 15:19,-0.1037,-0.0317,-0.0720
2019-11-26 15:18,-0.0937,-0.0297,-0.0641
2019-11-26 15:17,-0.0731,-0.0165,-0.0566
2019-11-26 15:16,-0.0686,-0.0161,-0.0525
2019-11-26 15:15,-0.0762,-0.0277,-0.0485
2019-11-26 15:14,-0.0755,-0.0339,-0.0416
2019-11-26 15:13,-0.0695,-0.0364,-0.0331
2019-11-26 15:12,-0.0649,-0.0409,-0.0240
2019-11-26 15:11,-0.0483,-0.0345,-0.0138
2019-11-26 15:10,-0.0423,-0.0371,-0.0052
2019-11-26 15:09,-0.0360,-0.0401,0.0041
2019-11-26 15:08,-0.0255,-0.0396,0.0141
2019-11-26 15:07,0.0142,-0.0099,0.0241
2019-11-26 15:06,0.0199,-0.0066,0.0265
2019-11-26 15:05,0.0234,-0.0048,0.0282
2019-11-26 15:04,0.0245,-0.0049,0.0294
2019-11-26 15:03,0.0224,-0.0082,0.0306
2019-11-26 15:02,0.0255,-0.0071,0.0326
2019-11-26 15:01,0.0280,-0.0064,0.0344
2019-11-26 15:00,0.0278,-0.0082,0.0360
2019-11-26 14:59,0.0252,-0.0129,0.0381
2019-11-26 14:58,0.0304,-0.0109,0.0413
2019-11-26 14:57,0.0282,-0.0159,0.0440
2019-11-26 14:56,0.0361,-0.0119,0.0480
2019-11-26 14:55,0.0360,-0.0150,0.0510
2019-11-26 14:54,0.0425,-0.0122,0.0547
2019-11-26 14:53,0.0430,-0.0147,0.0577
2019-11-26 14:52,0.0568,-0.0046,0.0614
2019-11-26 14:51,0.0640,0.0014,0.0626
2019-11-26 14:50,0.0571,-0.0051,0.0622
2019-11-26 14:49,0.0565,-0.0070,0.0635
2019-11-26 14:48,0.0569,-0.0084,0.0652
2019-11-26 14:47,0.0545,-0.0128,0.0673
2019-11-26 14:46,0.0537,-0.0168,0.0706
2019-11-26 14:45,0.0499,-0.0249,0.0748
2019-11-26 14:44,0.0504,-0.0305,0.0810
2019-11-26 14:43,0.0555,-0.0331,0.0886
2019-11-26 14:42,0.0545,-0.0424,0.0969
2019-11-26 14:41,0.1002,-0.0073,0.1075
2019-11-26 14:40,0.1039,-0.0055,0.1093
2019-11-26 14:39,0.1018,-0.0089,0.1107
2019-11-26 14:38,0.1048,-0.0082,0.1129
2019-11-26 14:37,0.1121,-0.0028,0.1150
2019-11-26 14:36,0.1179,0.0022,0.1157
2019-11-26 14:35,0.1176,0.0025,0.1151
2019-11-26 14:34,0.1163,0.0018,0.1145
2019-11-26 14:33,0.1202,0.0061,0.1141
2019-11-26 14:32,0.1192,0.0067,0.1125
2019-11-26 14:31,0.1204,0.0095,0.1109
2019-11-26 14:30,0.1155,0.0070,0.1085
2019-11-26 14:29,0.1050,-0.0017,0.1067
2019-11-26 14:28,0.1075,0.0003,0.1072
2019-11-26 14:27,0.1106,0.0035,0.1071
2019-11-26 14:26,0.1012,-0.0050,0.1062
2019-11-26 14:25,0.0959,-0.0116,0.1075
2019-11-26 14:24,0.1061,-0.0043,0.1104
2019-11-26 14:23,0.1033,-0.0082,0.1114
2019-11-26 14:22,0.1041,-0.0094,0.1135
2019-11-26 14:21,0.0926,-0.0232,0.1158
2019-11-26 14:20,0.1103,-0.0113,0.1216
2019-11-26 14:19,0.1278,0.0033,0.1244
2019-11-26 14:18,0.1294,0.0058,0.1236
2019-11-26 14:17,0.1401,0.0180,0.1221
2019-11-26 14:16,0.1532,0.0355,0.1176
2019-11-26 14:15,0.1545,0.0458,0.1088
2019-11-26 14:14,0.1566,0.0593,0.0973
2019-11-26 14:13,0.1615,0.0790,0.0825
2019-11-26 14:12,0.1420,0.0792,0.0627
2019-11-26 14:11,0.0997,0.0567,0.0429
2019-11-26 14:10,0.0606,0.0318,0.0288
2019-11-26 14:09,0.0291,0.0083,0.0208
2019-11-26 14:08,0.0221,0.0034,0.0187
2019-11-26 14:07,0.0322,0.0143,0.0179
2019-11-26 14:06,0.0441,0.0298,0.0143
2019-11-26 14:05,0.0546,0.0477,0.0069
2019-11-26 14:04,0.0463,0.0514,-0.0051
2019-11-26 14:03,0.0290,0.0469,-0.0179
2019-11-26 14:02,0.0088,0.0384,-0.0296
2019-11-26 14:01,-0.0050,0.0343,-0.0392
2019-11-26 14:00,-0.0308,0.0170,-0.0478
2019-11-26 13:59,-0.0492,0.0029,-0.0521
2019-11-26 13:58,-0.0378,0.0150,-0.0528
2019-11-26 13:57,-0.0527,0.0039,-0.0565
2019-11-26 13:56,-0.0669,-0.0094,-0.0575
2019-11-26 13:55,-0.0754,-0.0202,-0.0552
2019-11-26 13:54,-0.0703,-0.0202,-0.0501
2019-11-26 13:53,-0.0721,-0.0270,-0.0450
2019-11-26 13:52,-0.0661,-0.0278,-0.0383
2019-11-26 13:51,-0.0601,-0.0287,-0.0313
2019-11-26 13:50,-0.0640,-0.0398,-0.0242
2019-11-26 13:49,-0.0561,-0.0418,-0.0142
2019-11-26 13:48,-0.0594,-0.0556,-0.0037
2019-11-26 13:47,-0.0541,-0.0643,0.0102
2019-11-26 13:46,-0.0431,-0.0693,0.0262
2019-11-26 13:45,-0.0263,-0.0698,0.0436
2019-11-26 13:44,-0.0085,-0.0696,0.0610
2019-11-26 13:43,0.0071,-0.0713,0.0784
2019-11-26 13:42,0.0291,-0.0672,0.0963
2019-11-26 13:41,0.0688,-0.0442,0.1130
2019-11-26 13:40,0.0900,-0.0341,0.1241
2019-11-26 13:39,0.1046,-0.0280,0.1326
2019-11-26 13:38,0.1156,-0.0240,0.1396
2019-11-26 13:37,0.1178,-0.0278,0.1456
2019-11-26 13:36,0.1320,-0.0206,0.1526
2019-11-26 13:35,0.1391,-0.0187,0.1577
2019-11-26 13:34,0.1475,-0.0149,0.1624
2019-11-26 13:33,0.1527,-0.0134,0.1661
2019-11-26 13:32,0.1613,-0.0082,0.1694
2019-11-26 13:31,0.1672,-0.0043,0.1715
2019-11-26 13:30,0.1745,0.0019,0.1726
2019-11-26 13:29,0.1776,0.0055,0.1721
2019-11-26 13:28,0.1810,0.0103,0.1707
2019-11-26 13:27,0.1912,0.0231,0.1681
2019-11-26 13:26,0.1818,0.0194,0.1624
2019-11-26 13:25,0.1951,0.0377,0.1575
2019-11-26 13:24,0.2027,0.0546,0.1481
2019-11-26 13:23,0.1962,0.0618,0.1344
2019-11-26 13:22,0.1830,0.0640,0.1190
2019-11-26 13:21,0.1599,0.0570,0.1030
2019-11-26 13:20,0.1273,0.0386,0.0887
2019-11-26 13:19,0.1014,0.0223,0.0791
2019-11-26 13:18,0.0730,-0.0005,0.0735
2019-11-26 13:17,0.0724,-0.0013,0.0736
2019-11-26 13:16,0.0656,-0.0083,0.0739
2019-11-26 13:15,0.0727,-0.0033,0.0760
2019-11-26 13:14,0.0780,0.0012,0.0769
2019-11-26 13:13,0.0827,0.0061,0.0766
2019-11-26 13:12,0.0895,0.0145,0.0750
2019-11-26 13:11,0.0990,0.0276,0.0714
2019-11-26 13:10,0.0994,0.0349,0.0645
2019-11-26 13:09,0.0956,0.0398,0.0558
2019-11-26 13:08,0.0908,0.0450,0.0458
2019-11-26 13:07,0.0889,0.0544,0.0345
2019-11-26 13:06,0.0925,0.0716,0.0209
2019-11-26 13:05,0.0936,0.0905,0.0030
2019-11-26 13:04,0.0854,0.1050,-0.0196
2019-11-26 13:03,0.0643,0.1102,-0.0458
2019-11-26 13:02,0.0215,0.0948,-0.0734
2019-11-26 13:01,-0.0142,0.0828,-0.0971
2019-11-26 13:00,-0.0484,0.0694,-0.1178
2019-11-26 12:59,-0.0760,0.0591,-0.1352
2019-11-26 12:58,-0.1112,0.0387,-0.1499
2019-11-26 12:57,-0.1244,0.0352,-0.1596
2019-11-26 12:56,-0.1400,0.0284,-0.1684
2019-11-26 12:55,-0.1518,0.0237,-0.1755
2019-11-26 12:54,-0.1493,0.0321,-0.1814
2019-11-26 12:53,-0.1685,0.0210,-0.1894
2019-11-26 12:52,-0.1879,0.0068,-0.1947
2019-11-26 12:51,-0.1979,-0.0015,-0.1964
2019-11-26 12:50,-0.2061,-0.0101,-0.1960
2019-11-26 12:49,-0.2034,-0.0099,-0.1934
2019-11-26 12:48,-0.1969,-0.0060,-0.1910
2019-11-26 12:47,-0.1960,-0.0066,-0.1895
2019-11-26 12:46,-0.2175,-0.0296,-0.1878
2019-11-26 12:45,-0.2381,-0.0577,-0.1804
2019-11-26 12:44,-0.2227,-0.0567,-0.1660
2019-11-26 12:43,-0.1938,-0.0419,-0.1518
2019-11-26 12:42,-0.1826,-0.0413,-0.1414
2019-11-26 12:41,-0.1779,-0.0469,-0.1310
2019-11-26 12:40,-0.1724,-0.0531,-0.1193
2019-11-26 12:39,-0.1730,-0.0670,-0.1060
2019-11-26 12:38,-0.1540,-0.0647,-0.0893
2019-11-26 12:37,-0.1228,-0.0496,-0.0731
2019-11-26 12:36,-0.1057,-0.0450,-0.0607
2019-11-26 12:35,-0.0888,-0.0393,-0.0495
2019-11-26 12:34,-0.0773,-0.0377,-0.0396
2019-11-26 12:33,-0.0666,-0.0363,-0.0302
2019-11-26 12:32,-0.0519,-0.0308,-0.0211
2019-11-26 12:31,-0.0385,-0.0251,-0.0134
2019-11-26 12:30,-0.0352,-0.0280,-0.0072
2019-11-26 12:29,-0.0222,-0.0220,-0.0002
2019-11-26 12:28,-0.0033,-0.0086,0.0053
2019-11-26 12:27,0.0035,-0.0040,0.0075
2019-11-26 12:26,0.0122,0.0037,0.0085
2019-11-26 12:25,0.0191,0.0115,0.0075
