time,MACD,MACD_Hist,MACD_Signal
2019-11-26 16:00,0.0150,-0.0250,0.0400
2019-11-26 15:59,0.0262,-0.0201,0.0463
2019-11-26 15:58,0.0380,-0.0132,0.0513
2019-11-26 15:57,0.0420,-0.0126,0.0546
2019-11-26 15:56,0.0469,-0.0109,0.0577
2019-11-26 15:55,0.0534,-0.0070,0.0605
2019-11-26 15:54,0.0550,-0.0073,0.0622
2019-11-26 15:53,0.0581,-0.0059,0.0640
2019-11-26 15:52,0.0644,-0.0011,0.0655
2019-11-26 15:51,0.0699,0.0041,0.0658
2019-11-26 15:50,0.0714,0.0066,0.0648
2019-11-26 15:49,0.0737,0.0106,0.0631
2019-11-26 15:48,0.0716,0.0111,0.0604
2019-11-26 15:47,0.0724,0.0147,0.0577
2019-11-26 15:46,0.0657,0.0117,0.0540
2019-11-26 15:45,0.0593,0.0083,0.0510
2019-11-26 15:44,0.0574,0.0085,0.0490
2019-11-26 15:43,0.0562,0.0094,0.0469
2019-11-26 15:42,0.0554,0.0109,0.0445
2019-11-26 15:41,0.0571,0.0153,0.0418
2019-11-26 15:40,0.0548,0.0169,0.0380
2019-11-26 15:39,0.0501,0.0164,0.0338
2019-11-26 15:38,0.0455,0.0158,0.0297
2019-11-26 15:37,0.0399,0.0142,0.0257
2019-11-26 15:36,0.0362,0.0141,0.0222
2019-11-26 15:35,0.0326,0.0139,0.0186
2019-11-26 15:34,0.0284,0.0133,0.0152
2019-11-26 15:33,0.0212,0.0094,0.0118
2019-11-26 15:32,0.0168,0.0073,0.0095
2019-11-26 15:31,0.0124,0.0047,0.0077
2019-11-26 15:30,0.0102,0.0037,0.0065
2019-11-26 15:29,0.0074,0.0018,0.0056
2019-11-26 15:28,0.0058,0.0006,0.0051
2019-11-26 15:27,0.0039,-0.0010,0.0050
2019-11-26 15:26,0.0056,0.0004,0.0052
2019-11-26 15:25,0.0072,0.0020,0.0051
2019-11-26 15:24,0.0091,0.0044,0.0046
2019-11-26 15:23,0.0114,0.0078,0.0035
2019-11-26 15:22,0.0086,0.0070,0.0016
2019-11-26 15:21,0.0064,0.0065,-0.0002
2019-11-26 15:20,0.0036,0.0055,-0.0018
2019-11-26 15:19,0.0020,0.0051,-0.0032
2019-11-26 15:18,-0.0023,0.0022,-0.0045
2019-11-26 15:17,-0.0056,-0.0006,-0.0050
2019-11-26 15:16,-0.0103,-0.0054,-0.0048
2019-11-26 15:15,-0.0141,-0.0106,-0.0035
2019-11-26 15:14,-0.0161,-0.0153,-0.0008
2019-11-26 15:13,-0.0129,-0.0159,0.0030
2019-11-26 15:12,-0.0102,-0.0172,0.0069
2019-11-26 15:11,-0.0056,-0.0168,0.0112
2019-11-26 15:10,-0.0006,-0.0160,0.0154
2019-11-26 15:09,0.0069,-0.0126,0.0194
2019-11-26 15:08,0.0137,-0.0089,0.0226
2019-11-26 15:07,0.0181,-0.0067,0.0248
2019-11-26 15:06,0.0219,-0.0046,0.0265
2019-11-26 15:05,0.0216,-0.0060,0.0276
2019-11-26 15:04,0.0228,-0.0064,0.0291
2019-11-26 15:03,0.0249,-0.0058,0.0307
2019-11-26 15:02,0.0294,-0.0028,0.0322
2019-11-26 15:01,0.0366,0.0037,0.0329
2019-11-26 15:00,0.0408,0.0088,0.0319
2019-11-26 14:59,0.0399,0.0101,0.0297
2019-11-26 14:58,0.0386,0.0114,0.0272
2019-11-26 14:57,0.0360,0.0116,0.0244
2019-11-26 14:56,0.0311,0.0096,0.0215
2019-11-26 14:55,0.0284,0.0094,0.0191
2019-11-26 14:54,0.0277,0.0110,0.0167
2019-11-26 14:53,0.0256,0.0117,0.0140
2019-11-26 14:52,0.0234,0.0123,0.0110
2019-11-26 14:51,0.0211,0.0132,0.0080
2019-11-26 14:50,0.0185,0.0138,0.0047
2019-11-26 14:49,0.0153,0.0141,0.0012
2019-11-26 14:48,0.0101,0.0124,-0.0023
2019-11-26 14:47,0.0043,0.0096,-0.0054
2019-11-26 14:46,0.0008,0.0086,-0.0078
2019-11-26 14:45,-0.0015,0.0084,-0.0099
2019-11-26 14:44,-0.0035,0.0086,-0.0121
2019-11-26 14:43,-0.0080,0.0062,-0.0142
2019-11-26 14:42,-0.0110,0.0047,-0.0158
2019-11-26 14:41,-0.0153,0.0016,-0.0169
2019-11-26 14:40,-0.0190,-0.0017,-0.0173
2019-11-26 14:39,-0.0214,-0.0045,-0.0169
2019-11-26 14:38,-0.0231,-0.0074,-0.0158
2019-11-26 14:37,-0.0235,-0.0096,-0.0139
