time,MACD,MACD_Hist,MACD_Signal
2019-12-04 16:00,-0.3603,-0.0576,-0.3027
2019-12-04 15:59,-0.3555,-0.0672,-0.2883
2019-12-04 15:58,-0.3380,-0.0665,-0.2715
2019-12-04 15:57,-0.3088,-0.0539,-0.2549
2019-12-04 15:56,-0.2843,-0.0429,-0.2414
2019-12-04 15:55,-0.2662,-0.0355,-0.2306
2019-12-04 15:54,-0.2422,-0.0205,-0.2218
2019-12-04 15:53,-0.2438,-0.0272,-0.2167
2019-12-04 15:52,-0.2336,-0.0238,-0.2099
2019-12-04 15:51,-0.2239,-0.0199,-0.2039
2019-12-04 15:50,-0.2203,-0.0214,-0.1989
2019-12-04 15:49,-0.2310,-0.0374,-0.1936
2019-12-04 15:48,-0.2208,-0.0366,-0.1842
2019-12-04 15:47,-0.2188,-0.0437,-0.1751
2019-12-04 15:46,-0.2106,-0.0464,-0.1642
2019-12-04 15:45,-0.2036,-0.0511,-0.1526
2019-12-04 15:44,-0.1959,-0.0561,-0.1398
2019-12-04 15:43,-0.1883,-0.0625,-0.1258
2019-12-04 15:42,-0.1748,-0.0647,-0.1101
2019-12-04 15:41,-0.1693,-0.0754,-0.0940
2019-12-04 15:40,-0.1558,-0.0807,-0.0751
2019-12-04 15:39,-0.1271,-0.0721,-0.0550
2019-12-04 15:38,-0.0886,-0.0516,-0.0369
2019-12-04 15:37,-0.0493,-0.0253,-0.0240
2019-12-04 15:36,-0.0295,-0.0118,-0.0177
2019-12-04 15:35,-0.0181,-0.0033,-0.0148
2019-12-04 15:34,-0.0007,0.0132,-0.0139
2019-12-04 15:33,0.0140,0.0312,-0.0172
2019-12-04 15:32,0.0257,0.0508,-0.0250
2019-12-04 15:31,0.0436,0.0813,-0.0377
2019-12-04 15:30,0.0233,0.0814,-0.0581
2019-12-04 15:29,-0.0197,0.0587,-0.0784
2019-12-04 15:28,-0.0407,0.0524,-0.0931
2019-12-04 15:27,-0.0532,0.0530,-0.1062
2019-12-04 15:26,-0.0739,0.0455,-0.1194
2019-12-04 15:25,-0.0871,0.0437,-0.1308
2019-12-04 15:24,-0.1180,0.0238,-0.1417
2019-12-04 15:23,-0.1373,0.0104,-0.1477
2019-12-04 15:22,-0.1507,-0.0005,-0.1503
2019-12-04 15:21,-0.1515,-0.0013,-0.1502
2019-12-04 15:20,-0.1472,0.0026,-0.1498
2019-12-04 15:19,-0.1488,0.0017,-0.1505
2019-12-04 15:18,-0.1537,-0.0028,-0.1509
2019-12-04 15:17,-0.1516,-0.0014,-0.1502
