time,MACD,MACD_Hist,MACD_Signal
2019-12-04 16:00,0.0126,-0.0008,0.0134
2019-12-04 15:59,0.0146,0.0010,0.0136
2019-12-04 15:58,0.0129,-0.0004,0.0133
2019-12-04 15:57,0.0115,-0.0019,0.0134
2019-12-04 15:56,0.0121,-0.0018,0.0139
2019-12-04 15:55,0.0193,0.0050,0.0144
2019-12-04 15:54,0.0201,0.0070,0.0131
2019-12-04 15:53,0.0193,0.0079,0.0114
2019-12-04 15:52,0.0195,0.0101,0.0094
2019-12-04 15:51,0.0114,0.0045,0.0069
2019-12-04 15:50,0.0039,-0.0018,0.0057
2019-12-04 15:49,-0.0037,-0.0099,0.0062
2019-12-04 15:48,-0.0063,-0.0149,0.0087
2019-12-04 15:47,-0.0043,-0.0167,0.0124
2019-12-04 15:46,0.0043,-0.0122,0.0166
2019-12-04 15:45,0.0123,-0.0074,0.0196
2019-12-04 15:44,0.0151,-0.0064,0.0215
2019-12-04 15:43,0.0200,-0.0031,0.0231
2019-12-04 15:42,0.0234,-0.0005,0.0239
2019-12-04 15:41,0.0244,0.0004,0.0240
2019-12-04 15:40,0.0232,-0.0007,0.0239
2019-12-04 15:39,0.0214,-0.0027,0.0241
2019-12-04 15:38,0.0239,-0.0008,0.0247
2019-12-04 15:37,0.0273,0.0023,0.0249
2019-12-04 15:36,0.0296,0.0053,0.0243
2019-12-04 15:35,0.0291,0.0061,0.0230
2019-12-04 15:34,0.0270,0.0055,0.0215
2019-12-04 15:33,0.0229,0.0028,0.0201
2019-12-04 15:32,0.0215,0.0021,0.0194
2019-12-04 15:31,0.0193,0.0004,0.0189
2019-12-04 15:30,0.0203,0.0015,0.0188
2019-12-04 15:29,0.0213,0.0029,0.0184
2019-12-04 15:28,0.0228,0.0051,0.0177
2019-12-04 15:27,0.0228,0.0064,0.0164
2019-12-04 15:26,0.0241,0.0093,0.0148
2019-12-04 15:25,0.0197,0.0072,0.0125
2019-12-04 15:24,0.0152,0.0045,0.0107
2019-12-04 15:23,0.0129,0.0034,0.0095
2019-12-04 15:22,0.0109,0.0022,0.0087
2019-12-04 15:21,0.0091,0.0010,0.0081
2019-12-04 15:20,0.0090,0.0012,0.0079
2019-12-04 15:19,0.0081,0.0005,0.0076
2019-12-04 15:18,0.0067,-0.0008,0.0075
2019-12-04 15:17,0.0084,0.0007,0.0077
2019-12-04 15:16,0.0094,0.0019,0.0075
2019-12-04 15:15,0.0116,0.0046,0.0070
2019-12-04 15:14,0.0096,0.0037,0.0059
2019-12-04 15:13,0.0095,0.0046,0.0049
2019-12-04 15:12,0.0062,0.0024,0.0038
2019-12-04 15:11,0.0019,-0.0012,0.0032
2019-12-04 15:10,-0.0015,-0.0051,0.0035
2019-12-04 15:09,-0.0039,-0.0087,0.0048
2019-12-04 15:08,-0.0054,-0.0124,0.0069
2019-12-04 15:07,-0.0037,-0.0137,0.0100
2019-12-04 15:06,-0.0003,-0.0138,0.0134
2019-12-04 15:05,0.0019,-0.0150,0.0169
2019-12-04 15:04,0.0026,-0.0180,0.0206
2019-12-04 15:03,0.0077,-0.0174,0.0251
2019-12-04 15:02,0.0151,-0.0144,0.0295
2019-12-04 15:01,0.0182,-0.0149,0.0331
2019-12-04 15:00,0.0228,-0.0140,0.0368
2019-12-04 14:59,0.0243,-0.0160,0.0403
2019-12-04 14:58,0.0269,-0.0174,0.0443
2019-12-04 14:57,0.0339,-0.0148,0.0487
2019-12-04 14:56,0.0385,-0.0138,0.0524
2019-12-04 14:55,0.0436,-0.0122,0.0558
2019-12-04 14:54,0.0453,-0.0136,0.0589
2019-12-04 14:53,0.0463,-0.0160,0.0623
2019-12-04 14:52,0.0496,-0.0167,0.0663
2019-12-04 14:51,0.0579,-0.0126,0.0704
2019-12-04 14:50,0.0627,-0.0109,0.0736
2019-12-04 14:49,0.0690,-0.0074,0.0763
2019-12-04 14:48,0.0780,-0.0001,0.0782
2019-12-04 14:47,0.0823,0.0041,0.0782
2019-12-04 14:46,0.0805,0.0034,0.0772
2019-12-04 14:45,0.0770,0.0007,0.0763
2019-12-04 14:44,0.0776,0.0014,0.0761
2019-12-04 14:43,0.0807,0.0049,0.0758
2019-12-04 14:42,0.0820,0.0075,0.0745
2019-12-04 14:41,0.0835,0.0108,0.0727
2019-12-04 14:40,0.0832,0.0132,0.0700
2019-12-04 14:39,0.0805,0.0138,0.0667
2019-12-04 14:38,0.0790,0.0157,0.0632
2019-12-04 14:37,0.0728,0.0135,0.0593
2019-12-04 14:36,0.0650,0.0090,0.0559
2019-12-04 14:35,0.0590,0.0054,0.0537
2019-12-04 14:34,0.0517,-0.0007,0.0523
2019-12-04 14:33,0.0488,-0.0037,0.0525
2019-12-04 14:32,0.0504,-0.0030,0.0534
2019-12-04 14:31,0.0519,-0.0023,0.0542
2019-12-04 14:30,0.0497,-0.0050,0.0547
2019-12-04 14:29,0.0514,-0.0046,0.0560
2019-12-04 14:28,0.0558,-0.0013,0.0571
2019-12-04 14:27,0.0576,0.0001,0.0575
2019-12-04 14:26,0.0579,0.0005,0.0575
2019-12-04 14:25,0.0613,0.0040,0.0573
2019-12-04 14:24,0.0610,0.0047,0.0563
2019-12-04 14:23,0.0658,0.0107,0.0552
2019-12-04 14:22,0.0660,0.0135,0.0525
2019-12-04 14:21,0.0601,0.0109,0.0491
2019-12-04 14:20,0.0573,0.0109,0.0464
2019-12-04 14:19,0.0568,0.0131,0.0437
2019-12-04 14:18,0.0570,0.0166,0.0404
2019-12-04 14:17,0.0493,0.0131,0.0363
2019-12-04 14:16,0.0378,0.0048,0.0330
2019-12-04 14:15,0.0348,0.0030,0.0318
2019-12-04 14:14,0.0325,0.0014,0.0311
2019-12-04 14:13,0.0290,-0.0017,0.0307
2019-12-04 14:12,0.0273,-0.0039,0.0311
2019-12-04 14:11,0.0280,-0.0041,0.0321
2019-12-04 14:10,0.0290,-0.0041,0.0331
2019-12-04 14:09,0.0291,-0.0051,0.0342
2019-12-04 14:08,0.0297,-0.0057,0.0355
2019-12-04 14:07,0.0336,-0.0033,0.0369
2019-12-04 14:06,0.0357,-0.0020,0.0377
2019-12-04 14:05,0.0377,-0.0005,0.0382
2019-12-04 14:04,0.0368,-0.0016,0.0383
2019-12-04 14:03,0.0340,-0.0048,0.0387
2019-12-04 14:02,0.0320,-0.0080,0.0399
2019-12-04 14:01,0.0320,-0.0099,0.0419
2019-12-04 14:00,0.0346,-0.0098,0.0444
2019-12-04 13:59,0.0395,-0.0074,0.0468
2019-12-04 13:58,0.0451,-0.0036,0.0487
