time,MACD,MACD_Hist,MACD_Signal
2019-12-04 16:00,0.0054,-0.0032,0.0086
2019-12-04 15:59,0.0073,-0.0021,0.0094
2019-12-04 15:58,0.0101,0.0002,0.0099
2019-12-04 15:57,0.0125,0.0027,0.0099
2019-12-04 15:56,0.0114,0.0022,0.0092
2019-12-04 15:55,0.0128,0.0041,0.0087
2019-12-04 15:54,0.0134,0.0057,0.0077
2019-12-04 15:53,0.0119,0.0057,0.0062
2019-12-04 15:52,0.0114,0.0066,0.0048
2019-12-04 15:51,0.0085,0.0053,0.0032
2019-12-04 15:50,0.0057,0.0039,0.0018
2019-12-04 15:49,0.0047,0.0038,0.0009
2019-12-04 15:48,0.0047,0.0048,-0.0001
2019-12-04 15:47,0.0058,0.0071,-0.0013
2019-12-04 15:46,0.0060,0.0091,-0.0031
2019-12-04 15:45,0.0032,0.0086,-0.0054
2019-12-04 15:44,-0.0010,0.0065,-0.0075
2019-12-04 15:43,-0.0042,0.0049,-0.0091
2019-12-04 15:42,-0.0068,0.0035,-0.0103
2019-12-04 15:41,-0.0100,0.0012,-0.0112
2019-12-04 15:40,-0.0104,0.0011,-0.0115
2019-12-04 15:39,-0.0113,0.0005,-0.0118
2019-12-04 15:38,-0.0122,-0.0003,-0.0119
2019-12-04 15:37,-0.0127,-0.0009,-0.0118
2019-12-04 15:36,-0.0141,-0.0025,-0.0116
2019-12-04 15:35,-0.0153,-0.0043,-0.0110
2019-12-04 15:34,-0.0150,-0.0051,-0.0099
2019-12-04 15:33,-0.0134,-0.0048,-0.0086
2019-12-04 15:32,-0.0112,-0.0038,-0.0074
2019-12-04 15:31,-0.0097,-0.0032,-0.0065
2019-12-04 15:30,-0.0086,-0.0030,-0.0057
2019-12-04 15:29,-0.0077,-0.0028,-0.0049
2019-12-04 15:28,-0.0059,-0.0017,-0.0042
2019-12-04 15:27,-0.0050,-0.0012,-0.0038
2019-12-04 15:26,-0.0023,0.0012,-0.0035
2019-12-04 15:25,-0.0029,0.0009,-0.0038
2019-12-04 15:24,-0.0056,-0.0016,-0.0040
2019-12-04 15:23,-0.0080,-0.0043,-0.0036
2019-12-04 15:22,-0.0078,-0.0053,-0.0025
2019-12-04 15:21,-0.0055,-0.0043,-0.0012
2019-12-04 15:20,-0.0045,-0.0044,-0.0002
2019-12-04 15:19,-0.0047,-0.0056,0.0009
2019-12-04 15:18,-0.0034,-0.0058,0.0023
2019-12-04 15:17,-0.0017,-0.0055,0.0038
2019-12-04 15:16,0.0001,-0.0051,0.0052
2019-12-04 15:15,0.0018,-0.0046,0.0064
2019-12-04 15:14,0.0051,-0.0025,0.0076
2019-12-04 15:13,0.0059,-0.0023,0.0082
2019-12-04 15:12,0.0065,-0.0023,0.0088
2019-12-04 15:11,0.0062,-0.0032,0.0093
2019-12-04 15:10,0.0072,-0.0030,0.0101
2019-12-04 15:09,0.0080,-0.0029,0.0109
2019-12-04 15:08,0.0093,-0.0024,0.0116
2019-12-04 15:07,0.0103,-0.0020,0.0122
2019-12-04 15:06,0.0104,-0.0023,0.0127
2019-12-04 15:05,0.0104,-0.0029,0.0133
2019-12-04 15:04,0.0105,-0.0035,0.0140
2019-12-04 15:03,0.0117,-0.0032,0.0149
