time,MACD,MACD_Hist,MACD_Signal
2019-12-04 16:00,0.0023,-0.0275,0.0298
2019-12-04 15:59,0.0131,-0.0235,0.0366
2019-12-04 15:58,0.0186,-0.0239,0.0425
2019-12-04 15:57,0.0275,-0.0210,0.0485
2019-12-04 15:56,0.0373,-0.0164,0.0537
2019-12-04 15:55,0.0503,-0.0075,0.0578
2019-12-04 15:54,0.0580,-0.0017,0.0597
2019-12-04 15:53,0.0650,0.0049,0.0601
2019-12-04 15:52,0.0639,0.0050,0.0589
2019-12-04 15:51,0.0579,0.0002,0.0576
2019-12-04 15:50,0.0601,0.0025,0.0576
2019-12-04 15:49,0.0603,0.0033,0.0570
2019-12-04 15:48,0.0614,0.0053,0.0561
2019-12-04 15:47,0.0609,0.0061,0.0548
2019-12-04 15:46,0.0584,0.0051,0.0533
2019-12-04 15:45,0.0589,0.0069,0.0520
2019-12-04 15:44,0.0600,0.0097,0.0503
2019-12-04 15:43,0.0551,0.0073,0.0478
2019-12-04 15:42,0.0558,0.0098,0.0460
2019-12-04 15:41,0.0558,0.0122,0.0435
2019-12-04 15:40,0.0550,0.0145,0.0405
2019-12-04 15:39,0.0521,0.0153,0.0369
2019-12-04 15:38,0.0488,0.0157,0.0330
2019-12-04 15:37,0.0458,0.0167,0.0291
2019-12-04 15:36,0.0369,0.0120,0.0249
2019-12-04 15:35,0.0285,0.0065,0.0219
2019-12-04 15:34,0.0228,0.0025,0.0203
2019-12-04 15:33,0.0199,0.0003,0.0197
2019-12-04 15:32,0.0159,-0.0037,0.0196
2019-12-04 15:31,0.0095,-0.0110,0.0205
2019-12-04 15:30,0.0124,-0.0109,0.0233
2019-12-04 15:29,0.0190,-0.0070,0.0260
2019-12-04 15:28,0.0261,-0.0016,0.0277
2019-12-04 15:27,0.0307,0.0026,0.0282
2019-12-04 15:26,0.0337,0.0061,0.0275
2019-12-04 15:25,0.0384,0.0124,0.0260
2019-12-04 15:24,0.0360,0.0131,0.0229
2019-12-04 15:23,0.0322,0.0126,0.0196
2019-12-04 15:22,0.0299,0.0135,0.0164
2019-12-04 15:21,0.0259,0.0129,0.0131
2019-12-04 15:20,0.0191,0.0092,0.0098
2019-12-04 15:19,0.0151,0.0076,0.0075
2019-12-04 15:18,0.0115,0.0059,0.0056
2019-12-04 15:17,0.0069,0.0027,0.0042
2019-12-04 15:16,0.0008,-0.0027,0.0035
2019-12-04 15:15,0.0004,-0.0037,0.0042
2019-12-04 15:14,-0.0000,-0.0051,0.0051
2019-12-04 15:13,-0.0006,-0.0070,0.0064
2019-12-04 15:12,0.0038,-0.0043,0.0081
2019-12-04 15:11,0.0063,-0.0029,0.0092
2019-12-04 15:10,0.0119,0.0020,0.0099
2019-12-04 15:09,0.0133,0.0038,0.0095
2019-12-04 15:08,0.0128,0.0043,0.0085
2019-12-04 15:07,0.0121,0.0047,0.0074
2019-12-04 15:06,0.0085,0.0022,0.0063
2019-12-04 15:05,0.0072,0.0015,0.0057
2019-12-04 15:04,0.0045,-0.0008,0.0053
2019-12-04 15:03,0.0040,-0.0015,0.0055
2019-12-04 15:02,0.0034,-0.0025,0.0059
2019-12-04 15:01,0.0035,-0.0030,0.0065
2019-12-04 15:00,0.0036,-0.0037,0.0073
2019-12-04 14:59,0.0057,-0.0025,0.0082
2019-12-04 14:58,0.0063,-0.0025,0.0088
2019-12-04 14:57,0.0075,-0.0020,0.0095
2019-12-04 14:56,0.0114,0.0014,0.0100
2019-12-04 14:55,0.0135,0.0039,0.0096
2019-12-04 14:54,0.0157,0.0071,0.0086
2019-12-04 14:53,0.0157,0.0088,0.0069
2019-12-04 14:52,0.0150,0.0103,0.0047
2019-12-04 14:51,0.0118,0.0097,0.0021
2019-12-04 14:50,0.0086,0.0089,-0.0003
2019-12-04 14:49,0.0084,0.0110,-0.0025
2019-12-04 14:48,0.0020,0.0073,-0.0053
2019-12-04 14:47,-0.0013,0.0058,-0.0071
2019-12-04 14:46,-0.0027,0.0058,-0.0086
2019-12-04 14:45,-0.0056,0.0044,-0.0100
2019-12-04 14:44,-0.0073,0.0038,-0.0111
2019-12-04 14:43,-0.0072,0.0049,-0.0121
2019-12-04 14:42,-0.0084,0.0049,-0.0133
2019-12-04 14:41,-0.0079,0.0066,-0.0145
2019-12-04 14:40,-0.0081,0.0081,-0.0162
2019-12-04 14:39,-0.0092,0.0089,-0.0182
2019-12-04 14:38,-0.0131,0.0073,-0.0204
2019-12-04 14:37,-0.0164,0.0059,-0.0222
2019-12-04 14:36,-0.0182,0.0055,-0.0237
2019-12-04 14:35,-0.0234,0.0017,-0.0251
2019-12-04 14:34,-0.0251,0.0004,-0.0255
2019-12-04 14:33,-0.0263,-0.0007,-0.0256
2019-12-04 14:32,-0.0255,-0.0001,-0.0254
2019-12-04 14:31,-0.0261,-0.0007,-0.0254
2019-12-04 14:30,-0.0266,-0.0013,-0.0252
2019-12-04 14:29,-0.0277,-0.0028,-0.0249
2019-12-04 14:28,-0.0253,-0.0011,-0.0242
2019-12-04 14:27,-0.0253,-0.0014,-0.0239
2019-12-04 14:26,-0.0240,-0.0004,-0.0236
2019-12-04 14:25,-0.0217,0.0017,-0.0235
2019-12-04 14:24,-0.0196,0.0043,-0.0239
2019-12-04 14:23,-0.0198,0.0052,-0.0250
2019-12-04 14:22,-0.0229,0.0034,-0.0263
2019-12-04 14:21,-0.0264,0.0007,-0.0272
2019-12-04 14:20,-0.0255,0.0019,-0.0273
2019-12-04 14:19,-0.0264,0.0014,-0.0278
2019-12-04 14:18,-0.0257,0.0024,-0.0282
2019-12-04 14:17,-0.0235,0.0053,-0.0288
2019-12-04 14:16,-0.0233,0.0068,-0.0301
2019-12-04 14:15,-0.0264,0.0054,-0.0318
2019-12-04 14:14,-0.0283,0.0048,-0.0331
2019-12-04 14:13,-0.0304,0.0039,-0.0343
2019-12-04 14:12,-0.0285,0.0067,-0.0353
2019-12-04 14:11,-0.0288,0.0082,-0.0370
2019-12-04 14:10,-0.0297,0.0093,-0.0390
2019-12-04 14:09,-0.0325,0.0089,-0.0413
2019-12-04 14:08,-0.0376,0.0060,-0.0435
2019-12-04 14:07,-0.0389,0.0061,-0.0450
