time,MACD,MACD_Hist,MACD_Signal
2019-12-02 16:00,-0.4015,-0.0433,-0.3582
2019-12-02 15:59,-0.3862,-0.0389,-0.3474
2019-12-02 15:58,-0.3775,-0.0398,-0.3377
2019-12-02 15:57,-0.3568,-0.0290,-0.3277
2019-12-02 15:56,-0.3424,-0.0220,-0.3204
2019-12-02 15:55,-0.3465,-0.0315,-0.3149
2019-12-02 15:54,-0.3406,-0.0335,-0.3071
2019-12-02 15:53,-0.3149,-0.0163,-0.2987
2019-12-02 15:52,-0.3133,-0.0186,-0.2946
2019-12-02 15:51,-0.3015,-0.0115,-0.2900
2019-12-02 15:50,-0.2963,-0.0093,-0.2871
2019-12-02 15:49,-0.2892,-0.0045,-0.2848
2019-12-02 15:48,-0.2846,-0.0009,-0.2836
2019-12-02 15:47,-0.2957,-0.0123,-0.2834
2019-12-02 15:46,-0.3045,-0.0242,-0.2803
2019-12-02 15:45,-0.3063,-0.0320,-0.2743
2019-12-02 15:44,-0.2970,-0.0307,-0.2663
2019-12-02 15:43,-0.2930,-0.0344,-0.2586
2019-12-02 15:42,-0.2908,-0.0408,-0.2500
2019-12-02 15:41,-0.2919,-0.0521,-0.2398
2019-12-02 15:40,-0.2605,-0.0338,-0.2267
2019-12-02 15:39,-0.2537,-0.0354,-0.2183
2019-12-02 15:38,-0.2450,-0.0356,-0.2094
2019-12-02 15:37,-0.2314,-0.0308,-0.2006
2019-12-02 15:36,-0.2162,-0.0234,-0.1929
2019-12-02 15:35,-0.2003,-0.0133,-0.1870
2019-12-02 15:34,-0.1960,-0.0123,-0.1837
2019-12-02 15:33,-0.1738,0.0068,-0.1806
2019-12-02 15:32,-0.1593,0.0230,-0.1823
2019-12-02 15:31,-0.1583,0.0297,-0.1881
2019-12-02 15:30,-0.1604,0.0351,-0.1955
2019-12-02 15:29,-0.1770,0.0273,-0.2043
2019-12-02 15:28,-0.2077,0.0034,-0.2111
2019-12-02 15:27,-0.2339,-0.0219,-0.2119
2019-12-02 15:26,-0.2444,-0.0380,-0.2065
2019-12-02 15:25,-0.2462,-0.0492,-0.1970
2019-12-02 15:24,-0.2215,-0.0368,-0.1847
2019-12-02 15:23,-0.1949,-0.0194,-0.1755
2019-12-02 15:22,-0.1790,-0.0083,-0.1706
2019-12-02 15:21,-0.1596,0.0089,-0.1685
2019-12-02 15:20,-0.1560,0.0147,-0.1708
2019-12-02 15:19,-0.1624,0.0121,-0.1744
2019-12-02 15:18,-0.1590,0.0185,-0.1775
2019-12-02 15:17,-0.1696,0.0125,-0.1821
2019-12-02 15:16,-0.1808,0.0045,-0.1852
2019-12-02 15:15,-0.1831,0.0032,-0.1863
2019-12-02 15:14,-0.1896,-0.0025,-0.1871
2019-12-02 15:13,-0.1891,-0.0026,-0.1865
2019-12-02 15:12,-0.1886,-0.0028,-0.1858
2019-12-02 15:11,-0.1843,0.0008,-0.1851
2019-12-02 15:10,-0.1955,-0.0102,-0.1853
2019-12-02 15:09,-0.2034,-0.0206,-0.1828
2019-12-02 15:08,-0.2018,-0.0241,-0.1776
2019-12-02 15:07,-0.2039,-0.0323,-0.1716
2019-12-02 15:06,-0.1996,-0.0361,-0.1635
2019-12-02 15:05,-0.1750,-0.0205,-0.1545
2019-12-02 15:04,-0.1572,-0.0079,-0.1494
2019-12-02 15:03,-0.1496,-0.0022,-0.1474
2019-12-02 15:02,-0.1438,0.0030,-0.1468
2019-12-02 15:01,-0.1445,0.0031,-0.1476
2019-12-02 15:00,-0.1484,-0.0000,-0.1484
2019-12-02 14:59,-0.1403,0.0080,-0.1484
2019-12-02 14:58,-0.1491,0.0013,-0.1504
2019-12-02 14:57,-0.1661,-0.0154,-0.1507
2019-12-02 14:56,-0.1682,-0.0214,-0.1468
2019-12-02 14:55,-0.1506,-0.0091,-0.1415
2019-12-02 14:54,-0.1448,-0.0056,-0.1392
2019-12-02 14:53,-0.1455,-0.0077,-0.1378
2019-12-02 14:52,-0.1401,-0.0042,-0.1359
2019-12-02 14:51,-0.1414,-0.0066,-0.1348
2019-12-02 14:50,-0.1441,-0.0109,-0.1332
2019-12-02 14:49,-0.1454,-0.0150,-0.1304
2019-12-02 14:48,-0.1496,-0.0229,-0.1267
2019-12-02 14:47,-0.1430,-0.0220,-0.1210
2019-12-02 14:46,-0.1443,-0.0288,-0.1155
2019-12-02 14:45,-0.1382,-0.0299,-0.1083
2019-12-02 14:44,-0.1340,-0.0331,-0.1008
2019-12-02 14:43,-0.1251,-0.0326,-0.0925
2019-12-02 14:42,-0.1211,-0.0367,-0.0844
2019-12-02 14:41,-0.1092,-0.0340,-0.0752
2019-12-02 14:40,-0.1075,-0.0408,-0.0667
2019-12-02 14:39,-0.1076,-0.0511,-0.0565
2019-12-02 14:38,-0.1035,-0.0597,-0.0438
2019-12-02 14:37,-0.0957,-0.0669,-0.0288
2019-12-02 14:36,-0.0762,-0.0641,-0.0121
2019-12-02 14:35,-0.0522,-0.0562,0.0039
2019-12-02 14:34,-0.0337,-0.0517,0.0180
2019-12-02 14:33,-0.0121,-0.0429,0.0309
2019-12-02 14:32,0.0127,-0.0289,0.0416
2019-12-02 14:31,0.0247,-0.0241,0.0488
2019-12-02 14:30,0.0193,-0.0356,0.0549
2019-12-02 14:29,0.0315,-0.0323,0.0638
2019-12-02 14:28,0.0404,-0.0314,0.0718
2019-12-02 14:27,0.0370,-0.0427,0.0797
2019-12-02 14:26,0.0352,-0.0552,0.0903
2019-12-02 14:25,0.0461,-0.0581,0.1041
2019-12-02 14:24,0.0516,-0.0670,0.1186
2019-12-02 14:23,0.0580,-0.0774,0.1354
2019-12-02 14:22,0.0989,-0.0558,0.1547
2019-12-02 14:21,0.1166,-0.0521,0.1687
2019-12-02 14:20,0.1278,-0.0540,0.1817
2019-12-02 14:19,0.1443,-0.0510,0.1952
2019-12-02 14:18,0.1602,-0.0478,0.2080
2019-12-02 14:17,0.1883,-0.0316,0.2199
2019-12-02 14:16,0.2021,-0.0257,0.2278
2019-12-02 14:15,0.2189,-0.0154,0.2343
2019-12-02 14:14,0.2330,-0.0051,0.2381
2019-12-02 14:13,0.2507,0.0113,0.2394
2019-12-02 14:12,0.2600,0.0235,0.2365
2019-12-02 14:11,0.2604,0.0298,0.2307
2019-12-02 14:10,0.2786,0.0553,0.2232
2019-12-02 14:09,0.2770,0.0676,0.2094
2019-12-02 14:08,0.2662,0.0737,0.1925
2019-12-02 14:07,0.2434,0.0693,0.1741
2019-12-02 14:06,0.2174,0.0607,0.1567
2019-12-02 14:05,0.2081,0.0665,0.1416
2019-12-02 14:04,0.1961,0.0712,0.1249
2019-12-02 14:03,0.1760,0.0689,0.1071
2019-12-02 14:02,0.1670,0.0771,0.0899
2019-12-02 14:01,0.1420,0.0714,0.0706
2019-12-02 14:00,0.0952,0.0424,0.0528
2019-12-02 13:59,0.0744,0.0322,0.0422
2019-12-02 13:58,0.0707,0.0366,0.0341
2019-12-02 13:57,0.0579,0.0329,0.0250
2019-12-02 13:56,0.0492,0.0324,0.0168
2019-12-02 13:55,0.0396,0.0310,0.0087
2019-12-02 13:54,0.0359,0.0350,0.0009
2019-12-02 13:53,0.0388,0.0466,-0.0078
2019-12-02 13:52,0.0286,0.0480,-0.0194
2019-12-02 13:51,0.0325,0.0640,-0.0315
2019-12-02 13:50,-0.0068,0.0407,-0.0474
2019-12-02 13:49,-0.0508,0.0068,-0.0576
2019-12-02 13:48,-0.0579,0.0014,-0.0593
2019-12-02 13:47,-0.0593,0.0003,-0.0597
2019-12-02 13:46,-0.0512,0.0086,-0.0598
2019-12-02 13:45,-0.0411,0.0209,-0.0619
2019-12-02 13:44,-0.0418,0.0254,-0.0671
2019-12-02 13:43,-0.0512,0.0222,-0.0735
2019-12-02 13:42,-0.0595,0.0195,-0.0790
2019-12-02 13:41,-0.0705,0.0134,-0.0839
2019-12-02 13:40,-0.0746,0.0126,-0.0873
2019-12-02 13:39,-0.0781,0.0123,-0.0904
2019-12-02 13:38,-0.0788,0.0147,-0.0935
2019-12-02 13:37,-0.0823,0.0149,-0.0972
2019-12-02 13:36,-0.0991,0.0018,-0.1009
2019-12-02 13:35,-0.0995,0.0019,-0.1014
2019-12-02 13:34,-0.1046,-0.0027,-0.1019
2019-12-02 13:33,-0.1097,-0.0085,-0.1012
2019-12-02 13:32,-0.1099,-0.0109,-0.0991
2019-12-02 13:31,-0.1020,-0.0057,-0.0963
2019-12-02 13:30,-0.1078,-0.0129,-0.0949
2019-12-02 13:29,-0.1156,-0.0240,-0.0917
2019-12-02 13:28,-0.1184,-0.0328,-0.0857
2019-12-02 13:27,-0.1141,-0.0366,-0.0775
2019-12-02 13:26,-0.1054,-0.0370,-0.0683
2019-12-02 13:25,-0.0978,-0.0387,-0.0591
2019-12-02 13:24,-0.0949,-0.0455,-0.0494
2019-12-02 13:23,-0.0836,-0.0456,-0.0380
2019-12-02 13:22,-0.0609,-0.0342,-0.0267
2019-12-02 13:21,-0.0407,-0.0226,-0.0181
2019-12-02 13:20,-0.0169,-0.0044,-0.0124
2019-12-02 13:19,0.0281,0.0394,-0.0113
2019-12-02 13:18,0.0325,0.0536,-0.0212
2019-12-02 13:17,0.0299,0.0645,-0.0346
2019-12-02 13:16,0.0234,0.0741,-0.0507
2019-12-02 13:15,0.0156,0.0849,-0.0692
2019-12-02 13:14,0.0045,0.0950,-0.0905
2019-12-02 13:13,-0.0330,0.0812,-0.1142
2019-12-02 13:12,-0.0701,0.0644,-0.1345
2019-12-02 13:11,-0.0969,0.0537,-0.1506
2019-12-02 13:10,-0.1302,0.0338,-0.1640
2019-12-02 13:09,-0.1438,0.0287,-0.1725
2019-12-02 13:08,-0.1575,0.0222,-0.1796
2019-12-02 13:07,-0.1564,0.0288,-0.1852
2019-12-02 13:06,-0.1681,0.0243,-0.1924
2019-12-02 13:05,-0.1775,0.0210,-0.1984
2019-12-02 13:04,-0.1889,0.0148,-0.2037
2019-12-02 13:03,-0.1972,0.0102,-0.2074
2019-12-02 13:02,-0.2017,0.0082,-0.2099
2019-12-02 13:01,-0.1970,0.0150,-0.2120
2019-12-02 13:00,-0.1972,0.0185,-0.2157
2019-12-02 12:59,-0.1855,0.0348,-0.2204
