time,MACD,MACD_Hist,MACD_Signal
2019-12-02 16:00,-0.0333,-0.0081,-0.0252
2019-12-02 15:59,-0.0310,-0.0078,-0.0232
2019-12-02 15:58,-0.0388,-0.0176,-0.0212
2019-12-02 15:57,-0.0477,-0.0309,-0.0168
2019-12-02 15:56,-0.0376,-0.0285,-0.0091
2019-12-02 15:55,-0.0322,-0.0303,-0.0019
2019-12-02 15:54,-0.0279,-0.0336,0.0056
2019-12-02 15:53,-0.0282,-0.0422,0.0140
2019-12-02 15:52,-0.0179,-0.0424,0.0246
2019-12-02 15:51,0.0026,-0.0326,0.0352
2019-12-02 15:50,0.0186,-0.0247,0.0433
2019-12-02 15:49,0.0397,-0.0098,0.0495
2019-12-02 15:48,0.0467,-0.0052,0.0519
2019-12-02 15:47,0.0469,-0.0064,0.0532
2019-12-02 15:46,0.0606,0.0058,0.0548
2019-12-02 15:45,0.0681,0.0147,0.0534
2019-12-02 15:44,0.0716,0.0219,0.0497
2019-12-02 15:43,0.0674,0.0232,0.0442
2019-12-02 15:42,0.0647,0.0262,0.0384
2019-12-02 15:41,0.0612,0.0293,0.0319
2019-12-02 15:40,0.0589,0.0344,0.0245
2019-12-02 15:39,0.0435,0.0276,0.0159
2019-12-02 15:38,0.0287,0.0197,0.0090
2019-12-02 15:37,0.0146,0.0105,0.0041
2019-12-02 15:36,0.0116,0.0101,0.0015
2019-12-02 15:35,0.0116,0.0126,-0.0010
2019-12-02 15:34,0.0074,0.0116,-0.0042
2019-12-02 15:33,0.0051,0.0122,-0.0071
2019-12-02 15:32,0.0050,0.0152,-0.0101
2019-12-02 15:31,0.0049,0.0188,-0.0139
2019-12-02 15:30,0.0047,0.0233,-0.0186
2019-12-02 15:29,0.0053,0.0297,-0.0244
2019-12-02 15:28,-0.0148,0.0171,-0.0319
2019-12-02 15:27,-0.0276,0.0086,-0.0361
2019-12-02 15:26,-0.0271,0.0111,-0.0383
2019-12-02 15:25,-0.0293,0.0118,-0.0411
2019-12-02 15:24,-0.0244,0.0196,-0.0440
2019-12-02 15:23,-0.0209,0.0280,-0.0489
2019-12-02 15:22,-0.0212,0.0347,-0.0559
2019-12-02 15:21,-0.0214,0.0432,-0.0646
2019-12-02 15:20,-0.0354,0.0399,-0.0754
2019-12-02 15:19,-0.0519,0.0335,-0.0854
2019-12-02 15:18,-0.0691,0.0247,-0.0937
2019-12-02 15:17,-0.0854,0.0145,-0.0999
2019-12-02 15:16,-0.0933,0.0102,-0.1035
2019-12-02 15:15,-0.0949,0.0111,-0.1061
2019-12-02 15:14,-0.0966,0.0122,-0.1089
2019-12-02 15:13,-0.1004,0.0115,-0.1119
2019-12-02 15:12,-0.1069,0.0079,-0.1148
2019-12-02 15:11,-0.1146,0.0021,-0.1167
2019-12-02 15:10,-0.1238,-0.0065,-0.1173
2019-12-02 15:09,-0.1317,-0.0161,-0.1156
2019-12-02 15:08,-0.1378,-0.0262,-0.1116
2019-12-02 15:07,-0.1345,-0.0294,-0.1051
2019-12-02 15:06,-0.1242,-0.0264,-0.0977
2019-12-02 15:05,-0.1214,-0.0303,-0.0911
2019-12-02 15:04,-0.1171,-0.0336,-0.0835
2019-12-02 15:03,-0.1039,-0.0287,-0.0751
2019-12-02 15:02,-0.0905,-0.0226,-0.0680
2019-12-02 15:01,-0.0793,-0.0170,-0.0623
2019-12-02 15:00,-0.0801,-0.0221,-0.0581
2019-12-02 14:59,-0.0790,-0.0265,-0.0525
2019-12-02 14:58,-0.0795,-0.0335,-0.0459
2019-12-02 14:57,-0.0759,-0.0383,-0.0375
2019-12-02 14:56,-0.0702,-0.0422,-0.0280
2019-12-02 14:55,-0.0567,-0.0393,-0.0174
2019-12-02 14:54,-0.0429,-0.0353,-0.0076
2019-12-02 14:53,-0.0307,-0.0319,0.0012
2019-12-02 14:52,-0.0197,-0.0289,0.0092
2019-12-02 14:51,-0.0126,-0.0290,0.0164
2019-12-02 14:50,0.0008,-0.0230,0.0237
2019-12-02 14:49,0.0105,-0.0189,0.0294
2019-12-02 14:48,0.0183,-0.0158,0.0342
2019-12-02 14:47,0.0281,-0.0100,0.0381
2019-12-02 14:46,0.0346,-0.0061,0.0406
2019-12-02 14:45,0.0331,-0.0090,0.0422
2019-12-02 14:44,0.0319,-0.0126,0.0444
2019-12-02 14:43,0.0297,-0.0178,0.0475
2019-12-02 14:42,0.0348,-0.0172,0.0520
2019-12-02 14:41,0.0356,-0.0207,0.0563
2019-12-02 14:40,0.0381,-0.0233,0.0615
2019-12-02 14:39,0.0480,-0.0193,0.0673
2019-12-02 14:38,0.0583,-0.0138,0.0721
2019-12-02 14:37,0.0671,-0.0085,0.0756
2019-12-02 14:36,0.0743,-0.0035,0.0777
2019-12-02 14:35,0.0803,0.0017,0.0786
2019-12-02 14:34,0.0838,0.0056,0.0782
2019-12-02 14:33,0.0819,0.0052,0.0768
2019-12-02 14:32,0.0749,-0.0006,0.0755
2019-12-02 14:31,0.0724,-0.0033,0.0756
2019-12-02 14:30,0.0742,-0.0022,0.0764
2019-12-02 14:29,0.0805,0.0035,0.0770
2019-12-02 14:28,0.0875,0.0113,0.0761
2019-12-02 14:27,0.0874,0.0141,0.0733
2019-12-02 14:26,0.0916,0.0219,0.0698
2019-12-02 14:25,0.0916,0.0273,0.0643
2019-12-02 14:24,0.0888,0.0313,0.0574
2019-12-02 14:23,0.0793,0.0296,0.0496
2019-12-02 14:22,0.0761,0.0339,0.0422
2019-12-02 14:21,0.0711,0.0374,0.0337
2019-12-02 14:20,0.0686,0.0443,0.0244
2019-12-02 14:19,0.0650,0.0517,0.0133
2019-12-02 14:18,0.0529,0.0525,0.0004
2019-12-02 14:17,0.0368,0.0495,-0.0127
2019-12-02 14:16,0.0135,0.0386,-0.0251
2019-12-02 14:15,-0.0032,0.0316,-0.0348
2019-12-02 14:14,-0.0194,0.0233,-0.0427
2019-12-02 14:13,-0.0354,0.0131,-0.0485
2019-12-02 14:12,-0.0475,0.0043,-0.0518
2019-12-02 14:11,-0.0566,-0.0038,-0.0528
2019-12-02 14:10,-0.0669,-0.0150,-0.0519
2019-12-02 14:09,-0.0730,-0.0249,-0.0481
2019-12-02 14:08,-0.0797,-0.0377,-0.0419
2019-12-02 14:07,-0.0656,-0.0332,-0.0325
2019-12-02 14:06,-0.0519,-0.0277,-0.0242
2019-12-02 14:05,-0.0264,-0.0091,-0.0173
2019-12-02 14:04,-0.0282,-0.0132,-0.0150
2019-12-02 14:03,-0.0229,-0.0112,-0.0117
2019-12-02 14:02,-0.0107,-0.0018,-0.0089
2019-12-02 14:01,0.0173,0.0257,-0.0084
2019-12-02 14:00,0.0150,0.0299,-0.0149
2019-12-02 13:59,0.0119,0.0342,-0.0223
2019-12-02 13:58,0.0088,0.0396,-0.0309
2019-12-02 13:57,0.0036,0.0444,-0.0408
2019-12-02 13:56,-0.0061,0.0458,-0.0519
2019-12-02 13:55,-0.0183,0.0451,-0.0634
2019-12-02 13:54,-0.0296,0.0450,-0.0746
2019-12-02 13:53,-0.0446,0.0413,-0.0859
2019-12-02 13:52,-0.0514,0.0448,-0.0962
2019-12-02 13:51,-0.0609,0.0465,-0.1074
2019-12-02 13:50,-0.0761,0.0429,-0.1190
2019-12-02 13:49,-0.0894,0.0403,-0.1297
2019-12-02 13:48,-0.1076,0.0322,-0.1398
2019-12-02 13:47,-0.1308,0.0171,-0.1479
2019-12-02 13:46,-0.1432,0.0090,-0.1521
2019-12-02 13:45,-0.1529,0.0015,-0.1544
2019-12-02 13:44,-0.1604,-0.0057,-0.1548
2019-12-02 13:43,-0.1671,-0.0138,-0.1534
2019-12-02 13:42,-0.1765,-0.0265,-0.1499
2019-12-02 13:41,-0.1863,-0.0430,-0.1433
2019-12-02 13:40,-0.1905,-0.0580,-0.1325
2019-12-02 13:39,-0.1759,-0.0578,-0.1180
2019-12-02 13:38,-0.1526,-0.0490,-0.1036
2019-12-02 13:37,-0.1308,-0.0395,-0.0913
2019-12-02 13:36,-0.1306,-0.0491,-0.0814
2019-12-02 13:35,-0.1284,-0.0593,-0.0692
2019-12-02 13:34,-0.1126,-0.0583,-0.0543
2019-12-02 13:33,-0.0959,-0.0561,-0.0398
2019-12-02 13:32,-0.0737,-0.0480,-0.0257
2019-12-02 13:31,-0.0448,-0.0310,-0.0137
2019-12-02 13:30,-0.0286,-0.0226,-0.0060
2019-12-02 13:29,-0.0106,-0.0102,-0.0003
2019-12-02 13:28,0.0034,0.0012,0.0022
2019-12-02 13:27,0.0019,-0.0000,0.0019
2019-12-02 13:26,0.0009,-0.0010,0.0019
2019-12-02 13:25,0.0048,0.0026,0.0022
2019-12-02 13:24,0.0096,0.0081,0.0015
2019-12-02 13:23,0.0146,0.0151,-0.0005
2019-12-02 13:22,0.0126,0.0169,-0.0043
2019-12-02 13:21,-0.0043,0.0042,-0.0085
2019-12-02 13:20,-0.0116,-0.0020,-0.0096
2019-12-02 13:19,-0.0161,-0.0071,-0.0091
2019-12-02 13:18,-0.0192,-0.0119,-0.0073
2019-12-02 13:17,-0.0177,-0.0133,-0.0043
2019-12-02 13:16,-0.0125,-0.0115,-0.0010
2019-12-02 13:15,-0.0067,-0.0085,0.0019
2019-12-02 13:14,0.0059,0.0019,0.0040
2019-12-02 13:13,0.0140,0.0105,0.0035
2019-12-02 13:12,0.0228,0.0219,0.0009
2019-12-02 13:11,0.0226,0.0272,-0.0046
2019-12-02 13:10,0.0176,0.0290,-0.0114
2019-12-02 13:09,0.0092,0.0278,-0.0186
2019-12-02 13:08,-0.0006,0.0250,-0.0256
2019-12-02 13:07,-0.0039,0.0279,-0.0318
2019-12-02 13:06,-0.0071,0.0317,-0.0388
2019-12-02 13:05,-0.0081,0.0386,-0.0467
2019-12-02 13:04,-0.0224,0.0340,-0.0564
2019-12-02 13:03,-0.0443,0.0205,-0.0649
2019-12-02 13:02,-0.0537,0.0163,-0.0700
2019-12-02 13:01,-0.0626,0.0115,-0.0741
2019-12-02 13:00,-0.0587,0.0183,-0.0770
2019-12-02 12:59,-0.0631,0.0184,-0.0816
2019-12-02 12:58,-0.0740,0.0121,-0.0862
2019-12-02 12:57,-0.0796,0.0096,-0.0892
2019-12-02 12:56,-0.0877,0.0039,-0.0916
2019-12-02 12:55,-0.0876,0.0050,-0.0926
2019-12-02 12:54,-0.0912,0.0026,-0.0938
2019-12-02 12:53,-0.0955,-0.0010,-0.0945
2019-12-02 12:52,-0.0920,0.0022,-0.0942
2019-12-02 12:51,-0.0918,0.0030,-0.0947
2019-12-02 12:50,-0.0861,0.0094,-0.0955
2019-12-02 12:49,-0.0837,0.0142,-0.0978
2019-12-02 12:48,-0.0825,0.0189,-0.1014
2019-12-02 12:47,-0.0868,0.0193,-0.1061
2019-12-02 12:46,-0.0993,0.0117,-0.1109
2019-12-02 12:45,-0.1178,-0.0039,-0.1139
2019-12-02 12:44,-0.1397,-0.0268,-0.1129
2019-12-02 12:43,-0.1524,-0.0462,-0.1062
