time,MACD,MACD_Hist,MACD_Signal
2019-12-02 16:00,-0.0093,-0.0103,0.0011
2019-12-02 15:59,-0.0073,-0.0110,0.0036
2019-12-02 15:58,-0.0028,-0.0091,0.0064
2019-12-02 15:57,0.0011,-0.0076,0.0087
2019-12-02 15:56,0.0040,-0.0066,0.0106
2019-12-02 15:55,0.0076,-0.0047,0.0122
2019-12-02 15:54,0.0100,-0.0034,0.0134
2019-12-02 15:53,0.0120,-0.0023,0.0142
2019-12-02 15:52,0.0133,-0.0015,0.0148
2019-12-02 15:51,0.0173,0.0021,0.0152
2019-12-02 15:50,0.0207,0.0060,0.0146
2019-12-02 15:49,0.0216,0.0085,0.0131
2019-12-02 15:48,0.0201,0.0091,0.0110
2019-12-02 15:47,0.0183,0.0095,0.0087
2019-12-02 15:46,0.0166,0.0103,0.0063
2019-12-02 15:45,0.0150,0.0113,0.0038
2019-12-02 15:44,0.0141,0.0131,0.0010
2019-12-02 15:43,0.0096,0.0120,-0.0023
2019-12-02 15:42,0.0069,0.0122,-0.0053
2019-12-02 15:41,0.0034,0.0118,-0.0084
2019-12-02 15:40,0.0008,0.0121,-0.0113
2019-12-02 15:39,-0.0036,0.0108,-0.0144
2019-12-02 15:38,-0.0081,0.0090,-0.0170
2019-12-02 15:37,-0.0117,0.0076,-0.0193
2019-12-02 15:36,-0.0151,0.0061,-0.0212
2019-12-02 15:35,-0.0192,0.0035,-0.0227
2019-12-02 15:34,-0.0183,0.0053,-0.0236
2019-12-02 15:33,-0.0174,0.0075,-0.0249
2019-12-02 15:32,-0.0193,0.0075,-0.0268
2019-12-02 15:31,-0.0225,0.0061,-0.0287
2019-12-02 15:30,-0.0242,0.0060,-0.0302
2019-12-02 15:29,-0.0245,0.0072,-0.0317
2019-12-02 15:28,-0.0261,0.0074,-0.0335
2019-12-02 15:27,-0.0262,0.0092,-0.0353
2019-12-02 15:26,-0.0295,0.0082,-0.0376
2019-12-02 15:25,-0.0332,0.0064,-0.0397
2019-12-02 15:24,-0.0325,0.0088,-0.0413
2019-12-02 15:23,-0.0351,0.0084,-0.0435
2019-12-02 15:22,-0.0389,0.0066,-0.0456
2019-12-02 15:21,-0.0424,0.0048,-0.0472
2019-12-02 15:20,-0.0472,0.0013,-0.0484
2019-12-02 15:19,-0.0515,-0.0027,-0.0487
2019-12-02 15:18,-0.0531,-0.0051,-0.0480
2019-12-02 15:17,-0.0545,-0.0078,-0.0468
2019-12-02 15:16,-0.0555,-0.0107,-0.0448
2019-12-02 15:15,-0.0549,-0.0128,-0.0421
2019-12-02 15:14,-0.0523,-0.0134,-0.0390
2019-12-02 15:13,-0.0493,-0.0137,-0.0356
2019-12-02 15:12,-0.0458,-0.0136,-0.0322
2019-12-02 15:11,-0.0446,-0.0159,-0.0288
2019-12-02 15:10,-0.0446,-0.0198,-0.0248
2019-12-02 15:09,-0.0398,-0.0199,-0.0199
2019-12-02 15:08,-0.0352,-0.0203,-0.0149
