time,MACD,MACD_Hist,MACD_Signal
2019-12-02 16:00,-0.0135,-0.0071,-0.0064
2019-12-02 15:59,-0.0114,-0.0067,-0.0047
2019-12-02 15:58,-0.0080,-0.0050,-0.0030
2019-12-02 15:57,-0.0076,-0.0059,-0.0017
2019-12-02 15:56,-0.0060,-0.0058,-0.0002
2019-12-02 15:55,-0.0044,-0.0056,0.0012
2019-12-02 15:54,-0.0028,-0.0054,0.0026
2019-12-02 15:53,-0.0012,-0.0051,0.0039
2019-12-02 15:52,0.0016,-0.0036,0.0052
2019-12-02 15:51,0.0054,-0.0007,0.0061
2019-12-02 15:50,0.0082,0.0020,0.0063
2019-12-02 15:49,0.0096,0.0038,0.0058
2019-12-02 15:48,0.0087,0.0039,0.0048
2019-12-02 15:47,0.0074,0.0035,0.0039
2019-12-02 15:46,0.0061,0.0031,0.0030
2019-12-02 15:45,0.0044,0.0022,0.0022
2019-12-02 15:44,0.0032,0.0015,0.0016
2019-12-02 15:43,0.0026,0.0013,0.0013
2019-12-02 15:42,0.0022,0.0013,0.0009
2019-12-02 15:41,0.0013,0.0007,0.0006
2019-12-02 15:40,0.0006,0.0002,0.0004
2019-12-02 15:39,-0.0008,-0.0012,0.0004
2019-12-02 15:38,0.0000,-0.0007,0.0007
2019-12-02 15:37,0.0010,0.0002,0.0008
2019-12-02 15:36,0.0012,0.0004,0.0008
2019-12-02 15:35,0.0015,0.0008,0.0007
2019-12-02 15:34,0.0034,0.0029,0.0005
2019-12-02 15:33,0.0047,0.0050,-0.0003
2019-12-02 15:32,0.0033,0.0048,-0.0015
2019-12-02 15:31,0.0019,0.0046,-0.0027
2019-12-02 15:30,0.0002,0.0040,-0.0039
2019-12-02 15:29,-0.0016,0.0033,-0.0049
2019-12-02 15:28,-0.0038,0.0018,-0.0057
2019-12-02 15:27,-0.0041,0.0020,-0.0061
2019-12-02 15:26,-0.0043,0.0023,-0.0066
2019-12-02 15:25,-0.0051,0.0021,-0.0072
2019-12-02 15:24,-0.0040,0.0038,-0.0078
2019-12-02 15:23,-0.0045,0.0042,-0.0087
2019-12-02 15:22,-0.0051,0.0046,-0.0097
2019-12-02 15:21,-0.0068,0.0041,-0.0109
2019-12-02 15:20,-0.0084,0.0035,-0.0119
2019-12-02 15:19,-0.0105,0.0023,-0.0128
2019-12-02 15:18,-0.0128,0.0006,-0.0134
2019-12-02 15:17,-0.0146,-0.0011,-0.0135
2019-12-02 15:16,-0.0156,-0.0024,-0.0133
2019-12-02 15:15,-0.0167,-0.0041,-0.0127
2019-12-02 15:14,-0.0169,-0.0052,-0.0116
2019-12-02 15:13,-0.0157,-0.0054,-0.0103
2019-12-02 15:12,-0.0151,-0.0061,-0.0090
2019-12-02 15:11,-0.0136,-0.0061,-0.0075
2019-12-02 15:10,-0.0125,-0.0066,-0.0059
2019-12-02 15:09,-0.0104,-0.0061,-0.0043
2019-12-02 15:08,-0.0085,-0.0058,-0.0028
2019-12-02 15:07,-0.0055,-0.0042,-0.0013
2019-12-02 15:06,-0.0047,-0.0044,-0.0003
2019-12-02 15:05,-0.0036,-0.0044,0.0008
2019-12-02 15:04,-0.0021,-0.0040,0.0019
2019-12-02 15:03,-0.0001,-0.0031,0.0030
2019-12-02 15:02,0.0018,-0.0019,0.0037
2019-12-02 15:01,0.0023,-0.0019,0.0042
2019-12-02 15:00,0.0023,-0.0024,0.0047
2019-12-02 14:59,0.0023,-0.0030,0.0053
2019-12-02 14:58,0.0028,-0.0032,0.0060
2019-12-02 14:57,0.0034,-0.0035,0.0068
2019-12-02 14:56,0.0035,-0.0042,0.0077
2019-12-02 14:55,0.0043,-0.0045,0.0087
2019-12-02 14:54,0.0046,-0.0053,0.0099
2019-12-02 14:53,0.0065,-0.0047,0.0112
2019-12-02 14:52,0.0088,-0.0036,0.0124
2019-12-02 14:51,0.0105,-0.0027,0.0133
2019-12-02 14:50,0.0116,-0.0023,0.0140
2019-12-02 14:49,0.0124,-0.0022,0.0146
2019-12-02 14:48,0.0126,-0.0025,0.0151
2019-12-02 14:47,0.0132,-0.0025,0.0157
2019-12-02 14:46,0.0128,-0.0036,0.0164
2019-12-02 14:45,0.0131,-0.0042,0.0173
2019-12-02 14:44,0.0143,-0.0041,0.0183
2019-12-02 14:43,0.0166,-0.0027,0.0193
2019-12-02 14:42,0.0184,-0.0017,0.0200
2019-12-02 14:41,0.0188,-0.0017,0.0204
2019-12-02 14:40,0.0190,-0.0018,0.0209
2019-12-02 14:39,0.0196,-0.0017,0.0213
2019-12-02 14:38,0.0200,-0.0017,0.0217
2019-12-02 14:37,0.0213,-0.0008,0.0222
2019-12-02 14:36,0.0227,0.0003,0.0224
2019-12-02 14:35,0.0240,0.0017,0.0223
2019-12-02 14:34,0.0234,0.0015,0.0219
2019-12-02 14:33,0.0228,0.0013,0.0215
2019-12-02 14:32,0.0214,0.0002,0.0212
2019-12-02 14:31,0.0216,0.0004,0.0211
2019-12-02 14:30,0.0214,0.0004,0.0210
2019-12-02 14:29,0.0225,0.0016,0.0209
2019-12-02 14:28,0.0241,0.0036,0.0205
2019-12-02 14:27,0.0249,0.0053,0.0196
2019-12-02 14:26,0.0239,0.0056,0.0183
2019-12-02 14:25,0.0220,0.0051,0.0169
2019-12-02 14:24,0.0196,0.0039,0.0156
2019-12-02 14:23,0.0172,0.0025,0.0147
2019-12-02 14:22,0.0152,0.0011,0.0140
2019-12-02 14:21,0.0136,-0.0002,0.0138
2019-12-02 14:20,0.0124,-0.0014,0.0138
2019-12-02 14:19,0.0133,-0.0008,0.0141
2019-12-02 14:18,0.0142,-0.0001,0.0143
2019-12-02 14:17,0.0142,-0.0002,0.0144
2019-12-02 14:16,0.0159,0.0015,0.0144
2019-12-02 14:15,0.0166,0.0026,0.0141
2019-12-02 14:14,0.0166,0.0031,0.0134
2019-12-02 14:13,0.0162,0.0036,0.0126
2019-12-02 14:12,0.0156,0.0038,0.0117
2019-12-02 14:11,0.0150,0.0042,0.0108
2019-12-02 14:10,0.0151,0.0053,0.0097
2019-12-02 14:09,0.0146,0.0062,0.0084
2019-12-02 14:08,0.0142,0.0073,0.0068
2019-12-02 14:07,0.0134,0.0084,0.0050
2019-12-02 14:06,0.0107,0.0078,0.0029
2019-12-02 14:05,0.0045,0.0036,0.0009
2019-12-02 14:04,0.0032,0.0031,0.0000
2019-12-02 14:03,0.0015,0.0022,-0.0007
2019-12-02 14:02,0.0013,0.0026,-0.0013
2019-12-02 14:01,0.0005,0.0024,-0.0019
2019-12-02 14:00,-0.0000,0.0025,-0.0025
2019-12-02 13:59,-0.0006,0.0025,-0.0032
2019-12-02 13:58,-0.0024,0.0014,-0.0038
2019-12-02 13:57,-0.0037,0.0005,-0.0041
2019-12-02 13:56,-0.0037,0.0006,-0.0042
2019-12-02 13:55,-0.0037,0.0007,-0.0044
2019-12-02 13:54,-0.0036,0.0010,-0.0046
2019-12-02 13:53,-0.0029,0.0020,-0.0048
2019-12-02 13:52,-0.0036,0.0017,-0.0053
2019-12-02 13:51,-0.0039,0.0019,-0.0057
2019-12-02 13:50,-0.0046,0.0016,-0.0062
2019-12-02 13:49,-0.0050,0.0016,-0.0066
2019-12-02 13:48,-0.0060,0.0011,-0.0070
2019-12-02 13:47,-0.0068,0.0005,-0.0073
2019-12-02 13:46,-0.0076,-0.0002,-0.0074
2019-12-02 13:45,-0.0069,0.0004,-0.0073
2019-12-02 13:44,-0.0064,0.0010,-0.0075
2019-12-02 13:43,-0.0073,0.0004,-0.0077
2019-12-02 13:42,-0.0078,0.0000,-0.0078
2019-12-02 13:41,-0.0077,0.0001,-0.0078
2019-12-02 13:40,-0.0081,-0.0002,-0.0078
2019-12-02 13:39,-0.0074,0.0004,-0.0078
2019-12-02 13:38,-0.0074,0.0005,-0.0079
2019-12-02 13:37,-0.0074,0.0006,-0.0080
2019-12-02 13:36,-0.0082,-0.0001,-0.0082
2019-12-02 13:35,-0.0082,-0.0001,-0.0081
2019-12-02 13:34,-0.0080,0.0001,-0.0081
2019-12-02 13:33,-0.0087,-0.0005,-0.0081
2019-12-02 13:32,-0.0084,-0.0004,-0.0080
2019-12-02 13:31,-0.0069,0.0010,-0.0079
2019-12-02 13:30,-0.0064,0.0017,-0.0082
2019-12-02 13:29,-0.0062,0.0024,-0.0086
2019-12-02 13:28,-0.0069,0.0023,-0.0092
2019-12-02 13:27,-0.0081,0.0016,-0.0098
2019-12-02 13:26,-0.0091,0.0011,-0.0102
2019-12-02 13:25,-0.0092,0.0013,-0.0105
2019-12-02 13:24,-0.0086,0.0021,-0.0108
2019-12-02 13:23,-0.0078,0.0035,-0.0113
2019-12-02 13:22,-0.0092,0.0030,-0.0122
2019-12-02 13:21,-0.0109,0.0020,-0.0129
2019-12-02 13:20,-0.0126,0.0008,-0.0134
2019-12-02 13:19,-0.0130,0.0006,-0.0136
2019-12-02 13:18,-0.0132,0.0006,-0.0138
2019-12-02 13:17,-0.0137,0.0003,-0.0140
2019-12-02 13:16,-0.0141,-0.0000,-0.0140
2019-12-02 13:15,-0.0139,0.0001,-0.0140
2019-12-02 13:14,-0.0137,0.0004,-0.0140
2019-12-02 13:13,-0.0135,0.0006,-0.0141
2019-12-02 13:12,-0.0116,0.0027,-0.0143
2019-12-02 13:11,-0.0118,0.0031,-0.0150
2019-12-02 13:10,-0.0127,0.0031,-0.0157
2019-12-02 13:09,-0.0140,0.0025,-0.0165
2019-12-02 13:08,-0.0156,0.0016,-0.0171
2019-12-02 13:07,-0.0163,0.0013,-0.0175
2019-12-02 13:06,-0.0170,0.0009,-0.0178
2019-12-02 13:05,-0.0176,0.0005,-0.0181
2019-12-02 13:04,-0.0186,-0.0004,-0.0182
2019-12-02 13:03,-0.0192,-0.0011,-0.0181
2019-12-02 13:02,-0.0196,-0.0018,-0.0178
2019-12-02 13:01,-0.0194,-0.0020,-0.0174
2019-12-02 13:00,-0.0168,0.0001,-0.0168
2019-12-02 12:59,-0.0167,0.0001,-0.0169
2019-12-02 12:58,-0.0175,-0.0006,-0.0169
2019-12-02 12:57,-0.0176,-0.0009,-0.0167
2019-12-02 12:56,-0.0176,-0.0011,-0.0165
2019-12-02 12:55,-0.0178,-0.0016,-0.0162
2019-12-02 12:54,-0.0188,-0.0030,-0.0159
2019-12-02 12:53,-0.0193,-0.0042,-0.0151
2019-12-02 12:52,-0.0192,-0.0052,-0.0141
2019-12-02 12:51,-0.0178,-0.0050,-0.0128
2019-12-02 12:50,-0.0157,-0.0041,-0.0115
2019-12-02 12:49,-0.0138,-0.0033,-0.0105
2019-12-02 12:48,-0.0106,-0.0010,-0.0097
2019-12-02 12:47,-0.0090,0.0004,-0.0094
2019-12-02 12:46,-0.0078,0.0017,-0.0095
2019-12-02 12:45,-0.0092,0.0007,-0.0100
2019-12-02 12:44,-0.0109,-0.0008,-0.0101
2019-12-02 12:43,-0.0114,-0.0015,-0.0099
2019-12-02 12:42,-0.0104,-0.0008,-0.0095
2019-12-02 12:41,-0.0097,-0.0004,-0.0093
