time,MACD,MACD_Hist,MACD_Signal
2019-12-02 16:00,0.0012,-0.0150,0.0161
2019-12-02 15:59,0.0084,-0.0115,0.0199
2019-12-02 15:58,0.0103,-0.0125,0.0228
2019-12-02 15:57,0.0091,-0.0168,0.0259
2019-12-02 15:56,0.0129,-0.0172,0.0301
2019-12-02 15:55,0.0218,-0.0126,0.0344
2019-12-02 15:54,0.0226,-0.0150,0.0376
2019-12-02 15:53,0.0304,-0.0109,0.0413
2019-12-02 15:52,0.0361,-0.0079,0.0440
2019-12-02 15:51,0.0487,0.0027,0.0460
2019-12-02 15:50,0.0580,0.0126,0.0453
2019-12-02 15:49,0.0649,0.0227,0.0422
2019-12-02 15:48,0.0646,0.0281,0.0365
2019-12-02 15:47,0.0598,0.0303,0.0295
2019-12-02 15:46,0.0523,0.0304,0.0219
2019-12-02 15:45,0.0429,0.0286,0.0143
2019-12-02 15:44,0.0364,0.0293,0.0072
2019-12-02 15:43,0.0307,0.0308,-0.0001
2019-12-02 15:42,0.0280,0.0359,-0.0079
2019-12-02 15:41,0.0222,0.0390,-0.0168
2019-12-02 15:40,0.0154,0.0420,-0.0266
2019-12-02 15:39,-0.0046,0.0324,-0.0371
2019-12-02 15:38,-0.0200,0.0252,-0.0452
2019-12-02 15:37,-0.0353,0.0162,-0.0515
2019-12-02 15:36,-0.0511,0.0044,-0.0555
2019-12-02 15:35,-0.0625,-0.0059,-0.0567
2019-12-02 15:34,-0.0731,-0.0179,-0.0552
2019-12-02 15:33,-0.0692,-0.0185,-0.0507
2019-12-02 15:32,-0.0602,-0.0142,-0.0461
2019-12-02 15:31,-0.0601,-0.0176,-0.0425
2019-12-02 15:30,-0.0577,-0.0195,-0.0381
2019-12-02 15:29,-0.0561,-0.0229,-0.0333
2019-12-02 15:28,-0.0513,-0.0238,-0.0275
2019-12-02 15:27,-0.0373,-0.0157,-0.0216
2019-12-02 15:26,-0.0234,-0.0058,-0.0177
2019-12-02 15:25,-0.0212,-0.0050,-0.0162
2019-12-02 15:24,-0.0134,0.0016,-0.0150
2019-12-02 15:23,-0.0068,0.0085,-0.0154
2019-12-02 15:22,-0.0035,0.0140,-0.0175
2019-12-02 15:21,-0.0032,0.0178,-0.0210
2019-12-02 15:20,-0.0079,0.0176,-0.0255
2019-12-02 15:19,-0.0133,0.0166,-0.0299
2019-12-02 15:18,-0.0235,0.0105,-0.0340
2019-12-02 15:17,-0.0311,0.0055,-0.0366
2019-12-02 15:16,-0.0368,0.0012,-0.0380
2019-12-02 15:15,-0.0400,-0.0017,-0.0383
2019-12-02 15:14,-0.0435,-0.0056,-0.0379
2019-12-02 15:13,-0.0432,-0.0067,-0.0365
2019-12-02 15:12,-0.0453,-0.0105,-0.0348
2019-12-02 15:11,-0.0443,-0.0121,-0.0322
2019-12-02 15:10,-0.0434,-0.0141,-0.0292
2019-12-02 15:09,-0.0415,-0.0158,-0.0257
2019-12-02 15:08,-0.0365,-0.0148,-0.0217
2019-12-02 15:07,-0.0307,-0.0127,-0.0180
2019-12-02 15:06,-0.0288,-0.0140,-0.0148
2019-12-02 15:05,-0.0281,-0.0168,-0.0113
2019-12-02 15:04,-0.0288,-0.0216,-0.0072
2019-12-02 15:03,-0.0262,-0.0245,-0.0017
2019-12-02 15:02,-0.0205,-0.0249,0.0044
2019-12-02 15:01,-0.0180,-0.0286,0.0106
2019-12-02 15:00,-0.0136,-0.0313,0.0178
2019-12-02 14:59,-0.0077,-0.0333,0.0256
2019-12-02 14:58,0.0010,-0.0329,0.0339
2019-12-02 14:57,0.0110,-0.0311,0.0421
2019-12-02 14:56,0.0246,-0.0253,0.0499
2019-12-02 14:55,0.0396,-0.0166,0.0562
2019-12-02 14:54,0.0491,-0.0113,0.0604
2019-12-02 14:53,0.0542,-0.0090,0.0632
2019-12-02 14:52,0.0652,-0.0003,0.0655
