time,MACD,MACD_Hist,MACD_Signal
2019-11-29 13:01,0.0210,0.0065,0.0145
2019-11-29 13:00,0.0183,0.0054,0.0129
2019-11-29 12:59,0.0165,0.0050,0.0115
2019-11-29 12:58,0.0156,0.0054,0.0103
2019-11-29 12:57,0.0153,0.0063,0.0089
2019-11-29 12:56,0.0135,0.0062,0.0073
2019-11-29 12:55,0.0116,0.0059,0.0058
2019-11-29 12:54,0.0091,0.0047,0.0043
2019-11-29 12:53,0.0046,0.0015,0.0031
2019-11-29 12:52,0.0035,0.0007,0.0028
2019-11-29 12:51,0.0010,-0.0016,0.0026
2019-11-29 12:50,0.0023,-0.0007,0.0030
2019-11-29 12:49,0.0019,-0.0012,0.0032
2019-11-29 12:48,0.0025,-0.0010,0.0035
2019-11-29 12:47,0.0031,-0.0006,0.0037
2019-11-29 12:46,0.0049,0.0010,0.0039
2019-11-29 12:45,0.0091,0.0055,0.0036
2019-11-29 12:44,0.0119,0.0096,0.0022
2019-11-29 12:43,0.0101,0.0103,-0.0002
2019-11-29 12:42,0.0082,0.0110,-0.0027
2019-11-29 12:41,0.0057,0.0112,-0.0055
2019-11-29 12:40,0.0029,0.0111,-0.0083
2019-11-29 12:39,-0.0008,0.0103,-0.0111
2019-11-29 12:38,-0.0063,0.0073,-0.0136
2019-11-29 12:37,-0.0098,0.0056,-0.0155
2019-11-29 12:36,-0.0132,0.0037,-0.0169
2019-11-29 12:35,-0.0142,0.0036,-0.0178
2019-11-29 12:34,-0.0152,0.0035,-0.0187
2019-11-29 12:33,-0.0159,0.0037,-0.0196
2019-11-29 12:32,-0.0165,0.0040,-0.0205
2019-11-29 12:31,-0.0180,0.0035,-0.0215
2019-11-29 12:30,-0.0202,0.0022,-0.0223
2019-11-29 12:29,-0.0211,0.0017,-0.0229
2019-11-29 12:28,-0.0216,0.0017,-0.0233
2019-11-29 12:27,-0.0228,0.0009,-0.0238
2019-11-29 12:26,-0.0246,-0.0006,-0.0240
2019-11-29 12:25,-0.0260,-0.0022,-0.0238
2019-11-29 12:24,-0.0274,-0.0041,-0.0233
2019-11-29 12:23,-0.0273,-0.0051,-0.0223
2019-11-29 12:22,-0.0258,-0.0048,-0.0210
2019-11-29 12:21,-0.0239,-0.0041,-0.0198
2019-11-29 12:20,-0.0212,-0.0024,-0.0188
2019-11-29 12:19,-0.0194,-0.0013,-0.0182
2019-11-29 12:18,-0.0174,0.0004,-0.0178
2019-11-29 12:17,-0.0177,0.0003,-0.0179
2019-11-29 12:16,-0.0177,0.0003,-0.0180
2019-11-29 12:15,-0.0170,0.0011,-0.0181
2019-11-29 12:14,-0.0178,0.0006,-0.0184
2019-11-29 12:13,-0.0176,0.0009,-0.0185
2019-11-29 12:12,-0.0176,0.0011,-0.0187
2019-11-29 12:09,-0.0169,0.0021,-0.0190
2019-11-29 12:07,-0.0182,0.0014,-0.0196
2019-11-29 12:06,-0.0181,0.0018,-0.0199
2019-11-29 12:05,-0.0182,0.0021,-0.0204
2019-11-29 12:04,-0.0176,0.0033,-0.0209
2019-11-29 12:03,-0.0181,0.0036,-0.0217
2019-11-29 12:02,-0.0182,0.0044,-0.0226
2019-11-29 12:01,-0.0204,0.0033,-0.0237
2019-11-29 12:00,-0.0229,0.0016,-0.0245
2019-11-29 11:59,-0.0243,0.0006,-0.0249
2019-11-29 11:58,-0.0256,-0.0005,-0.0251
2019-11-29 11:57,-0.0280,-0.0030,-0.0249
2019-11-29 11:56,-0.0296,-0.0054,-0.0242
2019-11-29 11:55,-0.0322,-0.0094,-0.0228
2019-11-29 11:54,-0.0346,-0.0141,-0.0205
2019-11-29 11:53,-0.0325,-0.0156,-0.0169
2019-11-29 11:52,-0.0289,-0.0159,-0.0130
2019-11-29 11:51,-0.0234,-0.0144,-0.0091
2019-11-29 11:50,-0.0181,-0.0126,-0.0055
2019-11-29 11:49,-0.0135,-0.0112,-0.0023
2019-11-29 11:48,-0.0086,-0.0090,0.0005
2019-11-29 11:47,-0.0036,-0.0063,0.0027
2019-11-29 11:46,-0.0003,-0.0046,0.0043
2019-11-29 11:45,0.0014,-0.0041,0.0055
2019-11-29 11:44,0.0031,-0.0034,0.0065
2019-11-29 11:43,0.0041,-0.0033,0.0074
2019-11-29 11:42,0.0053,-0.0028,0.0082
2019-11-29 11:41,0.0063,-0.0025,0.0089
2019-11-29 11:39,0.0075,-0.0020,0.0095
2019-11-29 11:38,0.0100,-0.0000,0.0100
2019-11-29 11:37,0.0083,-0.0017,0.0100
2019-11-29 11:36,0.0087,-0.0017,0.0104
2019-11-29 11:35,0.0106,-0.0003,0.0109
2019-11-29 11:34,0.0118,0.0008,0.0109
2019-11-29 11:33,0.0118,0.0010,0.0107
2019-11-29 11:32,0.0124,0.0019,0.0105
2019-11-29 11:31,0.0126,0.0026,0.0100
2019-11-29 11:30,0.0132,0.0039,0.0094
2019-11-29 11:29,0.0141,0.0057,0.0084
2019-11-29 11:28,0.0140,0.0070,0.0070
2019-11-29 11:27,0.0137,0.0085,0.0052
2019-11-29 11:26,0.0122,0.0091,0.0031
2019-11-29 11:25,0.0102,0.0094,0.0008
2019-11-29 11:24,0.0084,0.0100,-0.0015
2019-11-29 11:23,0.0065,0.0105,-0.0040
2019-11-29 11:22,0.0071,0.0137,-0.0066
2019-11-29 11:21,0.0046,0.0147,-0.0101
